2023-09-28 11:38:47.195 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@93bc31f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5581f3e3, org.springframework.security.web.context.SecurityContextHolderFilter@2b04b29d, org.springframework.security.web.header.HeaderWriterFilter@2685c3a2, org.springframework.web.filter.CorsFilter@71962018, org.springframework.security.web.authentication.logout.LogoutFilter@47c89a33, com.docuitservice.security.config.JwtAuthFilter@5f453412, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@477aa172, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@52ed42d6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e0dc940, org.springframework.security.web.session.SessionManagementFilter@5d98f014, org.springframework.security.web.access.ExceptionTranslationFilter@64a16a10, org.springframework.security.web.access.intercept.AuthorizationFilter@95aa79c]
2023-09-28 11:38:47.522 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-28 11:38:48.138 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/dockitservice'
2023-09-28 11:38:48.154 [main] INFO  c.d.DocuItServiceApplication - Started DocuItServiceApplication in 9.575 seconds (process running for 11.369)
2023-09-28 11:38:55.487 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[.[.[/dockitservice] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-09-28 11:38:55.488 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-09-28 11:38:55.491 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-09-28 11:38:55.991 [http-nio-8081-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /dockitservice/category/947e5fea-6448-44aa-b4ec-e21da4fd8a19
2023-09-28 11:39:16.241 [http-nio-8081-exec-4] INFO  c.d.service.AuthServiceImpl - AuthServiceImpl login ---Start---
2023-09-28 11:39:16.520 [http-nio-8081-exec-4] INFO  c.d.service.AuthServiceImpl - AuthServiceImpl login ---End---
2023-09-28 11:39:43.786 [http-nio-8081-exec-5] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /dockitservice/category/947e5fea-6448-44aa-b4ec-e21da4fd8a19
2023-09-28 11:39:49.980 [http-nio-8081-exec-6] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /dockitservice/category/947e5fea-6448-44aa-b4ec-e21da4fd8a19
2023-09-28 11:47:09.731 [main] INFO  c.d.DocuItServiceApplication - Starting DocuItServiceApplication using Java 17.0.4.1 with PID 18976 (D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice\target\classes started by 91637 in D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice)
2023-09-28 11:47:09.734 [main] INFO  c.d.DocuItServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-28 11:47:11.118 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-28 11:47:11.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 165 ms. Found 6 JPA repository interfaces.
2023-09-28 11:47:12.084 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-09-28 11:47:12.095 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-28 11:47:12.095 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
